experiment_sub	experiment_pair	experiment_group	aggregated_impressions_28d	aggregated_clicks_28d	shopify:Handle	shopify:Title	shopify:Type	shopify:Product Category	shopify:Tags	shopify:Variant SKU	shopify:Variant Price	shopify:Variant Compare At Price	shopify:SEO Title	shopify:SEO Description	shopify:Body (HTML)	shopify:Status	gmc:title	gmc:id	gmc:google product category	gmc:product type	gmc:description	gmc:color	gmc:condition	gmc:size	gmc:brand	gmc:availability	gmc:price	gmc:sale price	gmc:feed label	gmc:image link	gmc:modification info(modification source:modifier)	gmc:product detail(attribute name:attribute value:section name)	gmc:all clicks	gmc:shipping weight	gmc:sku
main	1	CONTROL	221	0	teal-velvet-knot-pillow-new	Petrol Velvet Knot Pillow	Knot Pillow	Home & Garden > Linens & Bedding > Bedding > Pillows	floor cushion, floor cushions, floor pillow, floor pillows, pouf, pouf_ottoman, velvet	10010Ptr	93.00	125.00		This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun	<p>Bring luxury and elegance to any room with our perfectly crafted knot pillows. Each pillow is designed for ultimate softness and style, making it the perfect addition to any home decor.</p>	active	Petrol Velvet Knot Pillow	shopify_US_8483677569179_46362811990171	home & garden > linens & bedding > bedding > pillows	Knot Pillow	This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun				knots studio	in stock	125.00 USD	100.00 USD	US	https://cdn.shopify.com/s/files/1/1129/5340/files/722-knot-pillow-02-crop_jpg.jpg?v=1746956563	third party shopify:third party syncing		0	0.3 kg	10010Ptr
main	1	TEST	160	1	citron-velvet-knot-pillow-1	Citron Velvet Knot Pillow	Knot Pillow	Home & Garden > Linens & Bedding > Bedding > Pillows			125.00				<p>Bring luxury and elegance to any room with our perfectly crafted knot pillows. Each pillow is designed for ultimate softness and style, making it the perfect addition to any home decor.</p>	active	Citron Velvet Knot Pillow	2222543808300370379			Bring luxury and elegance to any room with our perfectly crafted knot pillows. Each pillow is designed for ultimate softness and style, making it the perfect addition to any home decor.		new			in stock			US	http://www.knots-studio.com/cdn/shop/files/citronpillow.jpg?v=1749728828			0		
main	2	CONTROL	246	1	ivory-velvet-knot-pillow	Ivory Velvet Knot Pillow	Knot Pillow	Home & Garden > Linens & Bedding > Bedding > Pillows	floor cushion, floor cushions, floor pillow, floor pillows, pouf, pouf_ottoman, velvet	10010Ivr	101.00	125.00		This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun	<p>Bring luxury and elegance to any room with our perfectly crafted knot pillows. Each pillow is designed for ultimate softness and style, making it the perfect addition to any home decor.</p>	active	Ivory Velvet Knot Pillow	shopify_US_8489488580763_46393102074011	home & garden > linens & bedding > bedding > pillows	Knot Pillow	This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun				knots studio	in stock	125.00 USD	100.00 USD	US	https://cdn.shopify.com/s/files/1/1129/5340/files/ivory_pillow.jpg?v=1749728902	third party shopify:third party syncing		1	0.3 kg	10010Ivr
main	2	TEST	307	0	burgandy-velvet-knot-pillow-new	Burgundy Velvet Knot Pillow	Knot Pillow	Home & Garden > Linens & Bedding > Bedding > Pillows	floor cushion, floor cushions, floor pillow, floor pillows, pouf, pouf_ottoman, velvet	10010Brg	93.00	125.00		This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun	<p>Bring luxury and elegance to any room with our perfectly crafted knot pillows. Each pillow is designed for ultimate softness and style, making it the perfect addition to any home decor.</p>	active	Burgundy Velvet Knot Pillow	shopify_US_8483677634715_46362812154011	home & garden > linens & bedding > bedding > pillows	Knot Pillow	This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun				knots studio	in stock	125.00 USD	100.00 USD	USD_649363611	https://cdn.shopify.com/s/files/1/1129/5340/files/burg_p.jpg?v=1746959226	third party shopify:third party syncing		0	0.3 kg	10010Brg
main	3	CONTROL	762	0	mauve-velvet-knot-pillow-new	Mauve Velvet Knot Pillow	Knot pillow	Home & Garden > Linens & Bedding > Bedding > Pillows	floor cushion, floor cushions, floor pillow, floor pillows, pouf, pouf_ottoman, velvet	10010Mve	93.00	125.00		This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun	<p>Bring luxury and elegance to any room with our perfectly crafted knot pillows. Each pillow is designed for ultimate softness and style, making it the perfect addition to any home decor.</p>	active	Mauve Velvet Knot Pillow	shopify_US_8483678453915_46362814382235	home & garden > linens & bedding > bedding > pillows	Knot pillow	This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun				Knots Studio	in stock	125.00 USD	100.00 USD	US	https://cdn.shopify.com/s/files/1/1129/5340/files/mauve_pillow_2.jpg?v=1746959344	third party shopify:third party syncing		0	0.3 kg	10010Mve
main	3	TEST	824	0	sterling-grey-velvet-knot-pillow-new	Sterling Grey Velvet Knot Pillow	Knot pillow	Home & Garden > Linens & Bedding > Bedding > Pillows	floor cushion, floor cushions, floor pillow, floor pillows, pouf, pouf_ottoman, velvet	10010Gry	93.00	125.00		This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun	<p>Bring luxury and elegance to any room with our perfectly crafted knot pillows. Each pillow is designed for ultimate softness and style, making it the perfect addition to any home decor.</p>	active	Sterling Grey Velvet Knot Pillow	shopify_US_8483675111579_46362807206043	home & garden > linens & bedding > bedding > pillows	Knot pillow	This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun				Knots Studio	in stock	125.00 USD	100.00 USD	US	https://cdn.shopify.com/s/files/1/1129/5340/files/greypillow.jpg?v=1746955679	third party shopify:third party syncing		0	0.3 kg	10010Gry
main	4	CONTROL	25	1	s-hull-basket-in-graphite-ultra-suede	(S) Hull Basket in Graphite Ultra suede		Home & Garden > Decor > Baskets		30010grf	101.00	135.00			<p><span>Transform your space with our handcrafted storage baskets that bring sophisticated organization to your bedroom, living room, or entryway. Each basket is meticulously crafted by hand, creating a unique accent piece that serves both functional and aesthetic purposes. Perfect for shelves or floor placement, these versatile baskets elevate your home's style while keeping your space beautifully organised.</span></p>	active	(S) Hull Basket in Graphite Ultra suede	shopify_US_8502535454875_46613169373339	home & garden > decor > baskets		Transform your space with our handcrafted storage baskets that bring sophisticated organization to your bedroom, living room, or entryway. Each basket is meticulously crafted by hand, creating a unique accent piece that serves both functional and aesthetic purposes. Perfect for shelves or floor placement, these versatile baskets elevate your home's style while keeping your space beautifully organised.				knots studio	in stock	135.00 USD	101.00 USD	US	https://cdn.shopify.com/s/files/1/1129/5340/files/Photoroom_20250713_180612.png?v=1752419223	third party shopify:third party syncing		1	0.5 kg	30010grf
main	4	TEST	25	0	m-hull-basket-in-graphite-ultra-suede-copy	(M) Hull Basket in Graphite Ultra suede		Home & Garden > Decor > Baskets		30020grf	168.00	225.00			<p><span>Transform your space with our handcrafted storage baskets that bring sophisticated organization to your bedroom, living room, or entryway. Each basket is meticulously crafted by hand, creating a unique accent piece that serves both functional and aesthetic purposes. Perfect for shelves or floor placement, these versatile baskets elevate your home's style while keeping your space beautifully organised.</span></p>	active	(M) Hull Basket in Graphite Ultra suede	shopify_US_8502535487643_46613169406107	home & garden > decor > baskets		Transform your space with our handcrafted storage baskets that bring sophisticated organization to your bedroom, living room, or entryway. Each basket is meticulously crafted by hand, creating a unique accent piece that serves both functional and aesthetic purposes. Perfect for shelves or floor placement, these versatile baskets elevate your home's style while keeping your space beautifully organised.				knots studio	in stock	195.00 USD	165.00 USD	USD_649363611	https://cdn.shopify.com/s/files/1/1129/5340/files/39DE7625-B192-4D4B-BB81-91796B74D793.png?v=1752429579	third party shopify:third party syncing		0	1 kg	30020grf
main	5	CONTROL	38	0	l-hull-basket-in-cream-vegan-suede	(L) Hull Basket in Stone Ultra suede		Home & Garden > Decor > Baskets		30030stn	223.00	298.00			<p>Our Hull baskets collection, designed with inspiration from boat construction, adds a sophisticated touch to your kitchen, bath, or entryway organization. These unique baskets, crafted by our skilled team, serve as a functional and attractive accent piece for shelves or floors.</p>	active	(L) Hull Basket in Stone Ultra suede	shopify_US_7659829035163_43380509606043	home & garden > decor > baskets		Our Hull baskets collection, designed with inspiration from boat construction, adds a sophisticated touch to your kitchen, bath, or entryway organization. These unique baskets, crafted by our skilled team, serve as a functional and attractive accent piece for shelves or floors.				Knots Studio	in stock	275.00 USD	206.00 USD	US	https://cdn.shopify.com/s/files/1/1129/5340/files/3d2e1191148255c0bbcfbe7d7351bbec.jpg?v=1757400395	third party shopify:third party syncing		0	1.5 kg	30030stn
main	5	TEST	50	0	s-hull-basket-in-cream-vegan-suede	(S) Hull Basket in Stone Ultra suede		Home & Garden > Decor > Baskets		30010stn	101.00	135.00			<p><span>Transform your space with our handcrafted storage baskets that bring sophisticated organization to your bedroom, living room, or entryway. Each basket is meticulously crafted by hand, creating a unique accent piece that serves both functional and aesthetic purposes. Perfect for shelves or floor placement, these versatile baskets elevate your home's style while keeping your space beautifully organized.</span></p>	active	(S) Hull Basket in Stone Ultra suede	shopify_US_7659829395611_43380510326939	home & garden > decor > baskets		Transform your space with our handcrafted storage baskets that bring sophisticated organization to your bedroom, living room, or entryway. Each basket is meticulously crafted by hand, creating a unique accent piece that serves both functional and aesthetic purposes. Perfect for shelves or floor placement, these versatile baskets elevate your home's style while keeping your space beautifully organized.				knots studio	in stock	135.00 USD	101.00 USD	USD_649363611	https://cdn.shopify.com/s/files/1/1129/5340/files/Photoroom_20250713_162400_79309ebb-6322-4f48-a1d0-603e43abde0b.png?v=1752413788	third party shopify:third party syncing		0	0.5 kg	30010stn
